z / cm,0,0.25,0.5,0.75,1,1.5,2,3,4,5,6,7
7,0.01690,0.01709,0.01724,0.01749,0.01772,0.01800,0.01797,0.01713,0.01564,0.01385,0.01209,0.01044
6,0.0227,0.0231,0.0235,0.0239,0.0243,0.0246,0.0244,0.0226,0.01996,0.01719,0.01455,0.01226
5,0.0320,0.0328,0.0337,0.0345,0.0351,0.0353,0.0345,0.0306,0.0259,0.0213,0.01750,0.01432
4,0.0487,0.0505,0.0524,0.0540,0.0549,0.0542,0.0513,0.0426,0.0338,0.0265,0.0208,0.01656
3,0.0819,0.0886,0.0936,0.0965,0.0967,0.0910,0.0813,0.0604,0.0440,0.0324,0.0244,0.01875
2,0.1776,0.2006,0.214,0.214,0.204,0.1704,0.1360,0.0853,0.0557,0.0384,0.0277,0.0207
1.5,0.311,0.364,0.382,0.362,0.324,0.241,0.176,0.0993,0.0614,0.0410,0.0290,0.0215
1,0.707,0.859,0.818,0.682,0.542,0.340,0.223,0.1124,0.0662,0.0431,0.0301,0.0220
0.5,3.45,3.47,2.19,1.354,0.885,0.446,0.264,0.1219,0.0694,0.0445,0.0308,0.0224
0,6.80E+08,15.5,4.29,1.953,1.109,0.497,0.281,0.1254,0.0705,0.0449,0.0310,0.0225
-0.5,2.62,3.47,2.20,1.355,0.885,0.447,0.264,0.1219,0.0694,0.0445,0.0308,0.0224
-1,0.608,0.849,0.816,0.681,0.543,0.340,0.223,0.1124,0.0662,0.0431,0.0301,0.0220
-1.5,0.274,0.355,0.380,0.361,0.323,0.242,0.1764,0.0993,0.0614,0.0410,0.0290,0.0215
-2,0.1587,0.1927,0.212,0.213,0.203,0.1703,0.1361,0.0853,0.0558,0.0384,0.0277,0.0207
-3,0.0745,0.0840,0.0915,0.0955,0.0962,0.0907,0.0812,0.0605,0.0440,0.0324,0.0244,0.01875
-4,0.0422,0.0472,0.0507,0.0531,0.0543,0.0540,0.0512,0.0426,0.0338,0.0265,0.0208,0.01656
-5,0.0279,0.0304,0.0324,0.0337,0.0346,0.0351,0.0343,0.0306,0.0259,0.0213,0.01750,0.01432
-6,0.0200,0.0213,0.0225,0.0233,0.0238,0.0244,0.0242,0.0225,0.01994,0.01717,0.01455,0.01226
-7,0.01500,0.01576,0.01647,0.01697,0.01735,0.01780,0.01786,0.01708,0.01561,0.01384,0.01207,0.01044
